title,authors,categories,description
"PISA 2015 Assessment and Analytical Framework Science, Reading, Mathematic and Financial Literacy",['OECD'],N/A,“What is important for citizens to know and be able to do?” The OECD Programme for International Student Assessment (PISA) seeks to answer that question through the most comprehensive and rigorous international assessment of student knowledge and skills.
"PISA 2015 Assessment and Analytical Framework Science, Reading, Mathematic, Financial Literacy and Collaborative Problem Solving",['OECD'],N/A,What is important for citizens to know and be able to do? The OECD Programme for International Student Assessment (PISA) seeks to answer that question through the most comprehensive and rigorous international assessment of student knowledge and skills.
"Oswaal CBSE Question Bank Class 9 English, Mathematic, Science & Social Science (Set of 4 Books) Chapterwise and Topicwise Solved Papers For 2025 Exams",['Oswaal Editorial Board'],['Study Aids'],"Description of the product: •100% Updated Syllabus & Question Typologies: We have got you covered with the latest and 100% updated curriculum along with the latest typologies of Questions. •Timed Revision with Topic-wise Revision Notes & Smart Mind Maps: Study smart, not hard! •Extensive Practice with 1000+ Questions & SAS Questions (Sri Aurobindo Society): To give you 1000+ chances to become a champ! •Concept Clarity with 500+ Concepts & Concept Videos: For you to learn the cool way— with videos and mind-blowing concepts. •NEP 2020 Compliance with Competency-Based Questions & Artificial Intelligence: For you to be on the cutting edge of the coolest educational trends."
The Impact of Home and School Environment on Early Literacy and Mathematic Skills,"['Paola Bonifacci', 'Tomohiro Inoue', 'George Manolitsis', 'Valentina Tobia']",['Science'],N/A
Elements of Mathematics,['Gabor Toth'],['Mathematics'],"This textbook offers a rigorous presentation of mathematics before the advent of calculus. Fundamental concepts in algebra, geometry, and number theory are developed from the foundations of set theory along an elementary, inquiry-driven path. Thought-provoking examples and challenging problems inspired by mathematical contests motivate the theory, while frequent historical asides reveal the story of how the ideas were originally developed. Beginning with a thorough treatment of the natural numbers via Peano’s axioms, the opening chapters focus on establishing the natural, integral, rational, and real number systems. Plane geometry is introduced via Birkhoff’s axioms of metric geometry, and chapters on polynomials traverse arithmetical operations, roots, and factoring multivariate expressions. An elementary classification of conics is given, followed by an in-depth study of rational expressions. Exponential, logarithmic, and trigonometric functions complete the picture, driven by inequalities that compare them with polynomial and rational functions. Axioms and limits underpin the treatment throughout, offering not only powerful tools, but insights into non-trivial connections between topics. Elements of Mathematics is ideal for students seeking a deep and engaging mathematical challenge based on elementary tools. Whether enhancing the early undergraduate curriculum for high achievers, or constructing a reflective senior capstone, instructors will find ample material for enquiring mathematics majors. No formal prerequisites are assumed beyond high school algebra, making the book ideal for mathematics circles and competition preparation. Readers who are more advanced in their mathematical studies will appreciate the interleaving of ideas and illuminating historical details."
Mathematical Intuitionism,"[""Al'bert Grigor'evi_ Dragalin""]",['Mathematics'],"In the area of mathematical logic, a great deal of attention is now being devoted to the study of nonclassical logics. This book intends to present the most important methods of proof theory in intuitionistic logic and to acquaint the reader with the principal axiomatic theories based on intuitionistic logic."
Mathematics Education as a Research Domain: A Search for Identity,"['Anna Sierpinska', 'Jeremy Kilpatrick']",['Education'],"No one disputes how important it is, in today's world, to prepare students to un derstand mathematics as well as to use and communicate mathematics in their future lives. That task is very difficult, however. Refocusing curricula on funda mental concepts, producing new teaching materials, and designing teaching units based on 'mathematicians' common sense' (or on logic) have not resulted in a better understanding of mathematics by more students. The failure of such efforts has raised questions suggesting that what was missing at the outset of these proposals, designs, and productions was a more profound knowledge of the phenomena of learning and teaching mathematics in socially established and culturally, politically, and economically justified institutions - namely, schools. Such knowledge cannot be built by mere juxtaposition of theories in disci plines such as psychology, sociology, and mathematics. Psychological theories focus on the individual learner. Theories of sociology of education look at the general laws of curriculum development, the specifics of pedagogic discourse as opposed to scientific discourse in general, the different possible pedagogic rela tions between the teacher and the taught, and other general problems in the inter face between education and society. Mathematics, aside from its theoretical contents, can be looked at from historical and epistemological points of view, clarifying the genetic development of its concepts, methods, and theories. This view can shed some light on the meaning of mathematical concepts and on the difficulties students have in teaching approaches that disregard the genetic development of these concepts."
The Princeton Companion to Mathematics,"['Timothy Gowers', 'June Barrow-Green', 'Imre Leader']",['Mathematics'],"This is a one-of-a-kind reference for anyone with a serious interest in mathematics. Edited by Timothy Gowers, a recipient of the Fields Medal, it presents nearly two hundred entries, written especially for this book by some of the world's leading mathematicians, that introduce basic mathematical tools and vocabulary; trace the development of modern mathematics; explain essential terms and concepts; examine core ideas in major areas of mathematics; describe the achievements of scores of famous mathematicians; explore the impact of mathematics on other disciplines such as biology, finance, and music--and much, much more. Unparalleled in its depth of coverage, The Princeton Companion to Mathematics surveys the most active and exciting branches of pure mathematics. Accessible in style, this is an indispensable resource for undergraduate and graduate students in mathematics as well as for researchers and scholars seeking to understand areas outside their specialties. Features nearly 200 entries, organized thematically and written by an international team of distinguished contributors Presents major ideas and branches of pure mathematics in a clear, accessible style Defines and explains important mathematical concepts, methods, theorems, and open problems Introduces the language of mathematics and the goals of mathematical research Covers number theory, algebra, analysis, geometry, logic, probability, and more Traces the history and development of modern mathematics Profiles more than ninety-five mathematicians who influenced those working today Explores the influence of mathematics on other disciplines Includes bibliographies, cross-references, and a comprehensive index Contributors incude: Graham Allan, Noga Alon, George Andrews, Tom Archibald, Sir Michael Atiyah, David Aubin, Joan Bagaria, Keith Ball, June Barrow-Green, Alan Beardon, David D. Ben-Zvi, Vitaly Bergelson, Nicholas Bingham, Béla Bollobás, Henk Bos, Bodil Branner, Martin R. Bridson, John P. Burgess, Kevin Buzzard, Peter J. Cameron, Jean-Luc Chabert, Eugenia Cheng, Clifford C. Cocks, Alain Connes, Leo Corry, Wolfgang Coy, Tony Crilly, Serafina Cuomo, Mihalis Dafermos, Partha Dasgupta, Ingrid Daubechies, Joseph W. Dauben, John W. Dawson Jr., Francois de Gandt, Persi Diaconis, Jordan S. Ellenberg, Lawrence C. Evans, Florence Fasanelli, Anita Burdman Feferman, Solomon Feferman, Charles Fefferman, Della Fenster, José Ferreirós, David Fisher, Terry Gannon, A. Gardiner, Charles C. Gillispie, Oded Goldreich, Catherine Goldstein, Fernando Q. Gouvêa, Timothy Gowers, Andrew Granville, Ivor Grattan-Guinness, Jeremy Gray, Ben Green, Ian Grojnowski, Niccolò Guicciardini, Michael Harris, Ulf Hashagen, Nigel Higson, Andrew Hodges, F. E. A. Johnson, Mark Joshi, Kiran S. Kedlaya, Frank Kelly, Sergiu Klainerman, Jon Kleinberg, Israel Kleiner, Jacek Klinowski, Eberhard Knobloch, János Kollár, T. W. Körner, Michael Krivelevich, Peter D. Lax, Imre Leader, Jean-François Le Gall, W. B. R. Lickorish, Martin W. Liebeck, Jesper Lützen, Des MacHale, Alan L. Mackay, Shahn Majid, Lech Maligranda, David Marker, Jean Mawhin, Barry Mazur, Dusa McDuff, Colin McLarty, Bojan Mohar, Peter M. Neumann, Catherine Nolan, James Norris, Brian Osserman, Richard S. Palais, Marco Panza, Karen Hunger Parshall, Gabriel P. Paternain, Jeanne Peiffer, Carl Pomerance, Helmut Pulte, Bruce Reed, Michael C. Reed, Adrian Rice, Eleanor Robson, Igor Rodnianski, John Roe, Mark Ronan, Edward Sandifer, Tilman Sauer, Norbert Schappacher, Andrzej Schinzel, Erhard Scholz, Reinhard Siegmund-Schultze, Gordon Slade, David J. Spiegelhalter, Jacqueline Stedall, Arild Stubhaug, Madhu Sudan, Terence Tao, Jamie Tappenden, C. H. Taubes, Rüdiger Thiele, Burt Totaro, Lloyd N. Trefethen, Dirk van Dalen, Richard Weber, Dominic Welsh, Avi Wigderson, Herbert Wilf, David Wilkins, B. Yandell, Eric Zaslow, Doron Zeilberger"
The Art of Mathematical Problem Solving,['Richard M. Beekman'],['Science'],"Mathematics is a fine art, like painting, sculpture, or music. This book teaches the art of solving challenging mathematics problems. Part I presents a general process for solving problems. Part II contains 35 difficult and challenging mathematics problems with complete solutions. The goal is to teach the reader how to proceed from an initial state of ""panic and fear"" to finding a beautiful and elegant solution to a problem."
Fundamentals of Elementary Mathematics,"['Merlyn J. Behr', 'Dale G. Jungst']",['Mathematics'],"Fundamentals of Elementary Mathematics provides an understanding of the fundamental aspects of elementary mathematics. This book presents the relevance of the mathematical concepts, which are also demonstrated in numerous exercises. Organized into 10 chapters, this book begins with an overview of the study of logic to understand the nature of mathematics. This text then discusses mathematics as a system of structure or as a collection of substructures. Other chapters consider the four essential components in a mathematical or logical system or structure, namely, undefined terms, defined terms, postulates, and theorems. This book discusses as well several principles used in numeration systems and provides examples of some numeration systems that are in use to illustrate these principles. The final chapter deals with the classification of certain mathematical systems as groups, fields, or rings to demonstrate some abstract mathematics. This book is a valuable resource for students and teachers in elementary mathematics."
